message_id,qid,cid,feat,value,group_norm
4,0,0,DISCREP,6,0.127659574468085
4,0,0,FEEL,2,0.0425531914893617
4,0,0,AUXVERB,5,0.106382978723404
4,0,0,SOCIAL,3,0.0638297872340427
4,0,0,ANGER,2,0.0425531914893618
4,0,0,SPACE,1,0.0212765957446809
4,0,0,PERCEPT,2,0.0425531914893617
4,0,0,DRIVES,1,0.0212765957446809
4,0,0,PREP,3,0.0638297872340427
4,0,0,COGPROC,11,0.23404255319149
4,0,0,RELATIV,4,0.0851063829787236
4,0,0,ADJ,2,0.0425531914893618
4,0,0,FOCUSPRESENT,5,0.106382978723404
4,0,0,PPRON,8,0.170212765957447
4,0,0,CONJ,6,0.127659574468085
4,0,0,_intercept,1,1.0
5,0,0,PRONOUN,10,0.217391304347826
5,0,0,CAUSE,1,0.0217391304347826
5,0,0,MOTION,1,0.0217391304347826
5,0,0,ADVERB,2,0.0434782608695652
5,0,0,FOCUSPAST,2,0.0434782608695652
5,0,0,COGPROC,12,0.260869565217391
5,0,0,TENTAT,2,0.0434782608695652
5,0,0,SPACE,1,0.0217391304347826
5,0,0,FUNCTION,26,0.565217391304348
5,0,0,NEGEMO,3,0.0652173913043478
5,0,0,DRIVES,2,0.0434782608695652
5,0,0,CONJ,3,0.0652173913043478
5,0,0,CERTAIN,1,0.0217391304347826
5,0,0,DIFFER,1,0.0217391304347826
5,0,0,VERB,11,0.239130434782609
5,0,0,ARTICLE,1,0.0217391304347826
5,0,0,AFFECT,4,0.0869565217391304
5,0,0,POWER,1,0.0217391304347826
5,0,0,FOCUSPRESENT,5,0.108695652173913
5,0,0,POSEMO,1,0.0217391304347826
5,0,0,INSIGHT,4,0.0869565217391304
5,0,0,I,5,0.108695652173913
5,0,0,AUXVERB,5,0.108695652173913
5,0,0,FEEL,4,0.0869565217391304
5,0,0,SOCIAL,5,0.108695652173913
5,0,0,ANGER,2,0.0434782608695652
5,0,0,COMPARE,1,0.0217391304347826
5,0,0,NEGATE,1,0.0217391304347826
5,0,0,PERCEPT,4,0.0869565217391304
5,0,0,PREP,5,0.108695652173913
5,0,0,DISCREP,4,0.0869565217391304
5,0,0,INTERROG,1,0.0217391304347826
5,0,0,RELATIV,2,0.0434782608695652
5,0,0,ADJ,3,0.0652173913043478
5,0,0,IPRON,4,0.0869565217391304
5,0,0,PPRON,6,0.130434782608696
5,0,0,REWARD,1,0.0217391304347826
5,0,0,SAD,1,0.0217391304347826
5,0,0,THEY,1,0.0217391304347826
5,0,0,_intercept,1,1.0
6,0,0,AFFECT,4,0.0869565217391304
6,0,0,PPRON,7,0.152173913043478
6,0,0,FOCUSPAST,2,0.0434782608695652
6,0,0,PRONOUN,11,0.239130434782609
6,0,0,TENTAT,3,0.0652173913043478
6,0,0,ANX,1,0.0217391304347826
6,0,0,SEE,1,0.0217391304347826
6,0,0,FUNCTION,26,0.565217391304348
6,0,0,NEGEMO,4,0.0869565217391304
6,0,0,ARTICLE,1,0.0217391304347826
6,0,0,DIFFER,1,0.0217391304347826
6,0,0,DRIVES,4,0.0869565217391304
6,0,0,VERB,12,0.260869565217391
6,0,0,TIME,1,0.0217391304347826
6,0,0,FOCUSPRESENT,5,0.108695652173913
6,0,0,I,7,0.152173913043478
6,0,0,INSIGHT,4,0.0869565217391304
6,0,0,ADVERB,1,0.0217391304347826
6,0,0,NUMBER,1,0.0217391304347826
6,0,0,AUXVERB,5,0.108695652173913
6,0,0,FEEL,4,0.0869565217391304
6,0,0,POWER,1,0.0217391304347826
6,0,0,SOCIAL,3,0.0652173913043478
6,0,0,ANGER,2,0.0434782608695652
6,0,0,SPACE,2,0.0434782608695652
6,0,0,NEGATE,2,0.0434782608695652
6,0,0,PERCEPT,5,0.108695652173913
6,0,0,ACHIEVE,1,0.0217391304347826
6,0,0,DISCREP,4,0.0869565217391304
6,0,0,PREP,3,0.0652173913043478
6,0,0,COGPROC,12,0.260869565217391
6,0,0,RELATIV,3,0.0652173913043478
6,0,0,ADJ,1,0.0217391304347826
6,0,0,IPRON,4,0.0869565217391304
6,0,0,REWARD,2,0.0434782608695652
6,0,0,SAD,1,0.0217391304347826
6,0,0,CONJ,4,0.0869565217391304
6,0,0,_intercept,1,1.0
7,0,0,AFFECT,5,0.161290322580645
7,0,0,ADVERB,2,0.064516129032258
7,0,0,PRONOUN,6,0.193548387096774
7,0,0,TENTAT,2,0.064516129032258
7,0,0,SPACE,1,0.032258064516129
7,0,0,FUNCTION,17,0.548387096774193
7,0,0,NEGEMO,4,0.129032258064516
7,0,0,DIFFER,1,0.032258064516129
7,0,0,NEGATE,1,0.032258064516129
7,0,0,VERB,6,0.193548387096774
7,0,0,ARTICLE,1,0.032258064516129
7,0,0,MOTION,1,0.032258064516129
7,0,0,IPRON,2,0.064516129032258
7,0,0,I,4,0.129032258064516
7,0,0,POSEMO,1,0.032258064516129
7,0,0,INSIGHT,3,0.0967741935483871
7,0,0,DISCREP,3,0.0967741935483871
7,0,0,FEEL,2,0.0645161290322581
7,0,0,AUXVERB,3,0.0967741935483871
7,0,0,SOCIAL,3,0.096774193548387
7,0,0,ANGER,4,0.129032258064516
7,0,0,QUANT,1,0.032258064516129
7,0,0,PERCEPT,2,0.0645161290322581
7,0,0,PREP,2,0.064516129032258
7,0,0,COGPROC,9,0.290322580645161
7,0,0,RELATIV,2,0.064516129032258
7,0,0,ADJ,1,0.032258064516129
7,0,0,FOCUSPRESENT,2,0.0645161290322581
7,0,0,PPRON,4,0.129032258064516
7,0,0,CONJ,3,0.0967741935483871
7,0,0,_intercept,1,1.0
8,0,0,PRONOUN,13,0.245283018867924
8,0,0,AFFECT,6,0.113207547169811
8,0,0,ADVERB,2,0.0377358490566038
8,0,0,FOCUSPAST,1,0.0188679245283019
8,0,0,PPRON,10,0.188679245283019
8,0,0,TENTAT,4,0.0754716981132076
8,0,0,SPACE,2,0.0377358490566038
8,0,0,FUNCTION,32,0.60377358490566
8,0,0,ACHIEVE,1,0.0188679245283019
8,0,0,NEGEMO,6,0.113207547169811
8,0,0,DRIVES,2,0.0377358490566038
8,0,0,THEY,1,0.0188679245283019
8,0,0,DIFFER,2,0.0377358490566038
8,0,0,ARTICLE,3,0.0566037735849057
